"film_title","film_category","total_rental_revenue","total_number_of_rental","avg_revenue_per_rental","last_rental_date"
"Sons Interview","Animation","75.85","14","5.4178571428571429","2006-02-14 15:16:03"
"Trojan Tomorrow","Sci-Fi","75.82","17","4.4600000000000000","2006-02-14 15:16:03"
"Blues Instinct","Family","75.82","18","4.2122222222222222","2005-08-23 11:25:00"
"Atlantis Cause","Family","75.79","21","3.6090476190476190","2005-08-19 06:38:59"
"Malkovich Pet","Classics","75.77","23","3.2943478260869565","2005-08-23 14:23:23"
"Autumn Crow","Games","74.90","10","7.4900000000000000","2005-08-21 22:25:53"
"Birch Antitrust","Music","74.89","11","6.8081818181818182","2005-08-23 10:56:15"
"Impossible Prejudice","Foreign","74.86","14","5.3471428571428571","2005-08-22 15:57:38"
"Lust Lock","Action","74.82","15","4.9880000000000000","2006-02-14 15:16:03"
"Flatliners Killer","Sports","74.81","19","3.9373684210526316","2005-08-22 16:30:43"
"Crossroads Casualties","Animation","74.80","20","3.7400000000000000","2005-08-23 12:47:05"
"Escape Metropolis","Travel","74.77","23","3.2508695652173913","2005-08-23 12:47:16"
"Frost Head","Classics","74.72","28","2.6685714285714286","2006-02-14 15:16:03"
"California Birds","Sports","73.89","11","6.7172727272727273","2005-08-23 12:46:38"
"Thin Sagebrush","Documentary","73.89","11","6.7172727272727273","2005-08-21 19:19:21"
"Pluto Oleander","New","73.87","13","5.6823076923076923","2005-08-21 13:52:54"
"Words Hunter","Music","73.86","14","5.2757142857142857","2005-08-22 18:59:01"
"Outlaw Hanky","Travel","73.86","14","5.2757142857142857","2006-02-14 15:16:03"
"Wait Cider","Animation","73.82","18","4.1011111111111111","2005-08-23 14:07:56"
"Fantasia Park","Games","73.81","19","3.8847368421052632","2005-08-23 22:12:44"
"Dream Pickup","Action","73.80","20","3.6900000000000000","2005-08-22 02:20:44"
"Half Outfield","Family","73.79","22","3.3540909090909091","2006-02-14 15:16:03"
"Darko Dorado","Action","72.90","10","7.2900000000000000","2005-08-23 11:32:35"
"Hope Tootsie","Classics","72.83","17","4.2841176470588235","2005-08-22 11:43:04"
"Berets Agent","Action","72.80","19","3.8315789473684211","2006-02-14 15:16:03"
"Downhill Enough","Comedy","72.79","21","3.4661904761904762","2005-08-23 18:08:59"
"Cincinatti Whisperer","Sci-Fi","71.89","11","6.5354545454545455","2006-02-14 15:16:03"
"Alabama Devil","Horror","71.88","12","5.9900000000000000","2005-08-23 14:26:51"
"Blindness Gun","Sci-Fi","71.87","13","5.5284615384615385","2005-08-23 09:41:28"
"Jacket Frisco","Drama","71.84","16","4.4900000000000000","2005-08-21 07:09:27"
"Weekend Personal","Sci-Fi","71.83","17","4.2252941176470588","2005-08-22 23:35:41"
"Wedding Apollo","Documentary","71.79","21","3.4185714285714286","2006-02-14 15:16:03"
"Saturn Name","Comedy","70.87","13","5.4515384615384615","2005-08-23 18:36:44"
"Confessions Maguire","Drama","70.87","13","5.4515384615384615","2005-08-22 15:21:56"
"Jeepers Wedding","Classics","70.87","13","5.4515384615384615","2005-08-23 03:13:01"
"Ferris Mother","Comedy","70.85","15","4.7233333333333333","2005-08-22 21:39:45"
"Remember Diary","Family","70.83","17","4.1664705882352941","2005-08-23 08:54:26"
"Trouble Date","Travel","70.81","20","3.5405000000000000","2006-02-14 15:16:03"
"Others Soup","Travel","70.80","20","3.5400000000000000","2005-08-23 13:05:10"
"Gentlemen Stage","Foreign","70.80","20","3.5400000000000000","2005-08-22 01:17:18"
"Amistad Midsummer","New","70.79","21","3.3709523809523810","2006-02-14 15:16:03"
"Mallrats United","Comedy","70.78","22","3.2172727272727273","2005-08-23 21:59:57"
"Ties Hunger","Children","69.91","9","7.7677777777777778","2005-08-23 15:41:20"
"Daughter Madigan","Children","69.91","9","7.7677777777777778","2005-08-23 00:46:52"
"Beast Hunchback","Classics","69.90","10","6.9900000000000000","2005-08-22 19:28:02"
"Vampire Whale","New","69.89","11","6.3536363636363636","2005-08-22 01:52:26"
"Comforts Rush","Travel","69.85","15","4.6566666666666667","2005-08-19 16:50:50"
"Instinct Airport","Sports","69.83","17","4.1076470588235294","2005-08-23 15:41:12"
"Werewolf Lola","Action","68.88","12","5.7400000000000000","2005-08-23 20:00:30"
"Flight Lies","Sports","68.88","12","5.7400000000000000","2005-08-21 02:14:03"
"Idaho Love","New","68.85","15","4.5900000000000000","2005-08-20 08:27:27"
"Eyes Driving","Sci-Fi","68.84","16","4.3025000000000000","2005-08-21 22:21:49"
"Bringing Hysterical","Comedy","68.81","19","3.6215789473684211","2005-08-23 07:53:38"
"Hobbit Alien","Drama","68.74","26","2.6438461538461538","2005-08-22 13:06:26"
"Amelie Hellfighters","Music","67.90","10","6.7900000000000000","2005-08-23 12:07:51"
"Liberty Magnificent","Sports","67.89","11","6.1718181818181818","2005-08-23 06:03:31"
"Dinosaur Secretary","Family","67.81","19","3.5689473684210526","2005-08-23 20:07:10"
"Jumping Wrath","Children","67.79","21","3.2280952380952381","2005-08-23 17:09:31"
"Goldfinger Sensibility","Drama","67.79","21","3.2280952380952381","2005-08-22 00:46:54"
"Graffiti Love","Sci-Fi","67.74","26","2.6053846153846154","2005-08-23 15:03:58"
"Rugrats Shakespeare","Action","67.72","28","2.4185714285714286","2005-08-23 20:47:28"
"Caribbean Liberty","Sports","66.92","8","8.3650000000000000","2005-08-23 00:05:57"
"Twisted Pirates","Children","66.89","11","6.0809090909090909","2005-08-23 12:33:41"
"Home Pity","Music","66.88","12","5.5733333333333333","2005-08-21 09:39:50"
"Dangerous Uptown","Foreign","66.88","12","5.5733333333333333","2005-08-23 10:32:52"
"Past Suicides","Foreign","66.88","12","5.5733333333333333","2005-08-20 21:50:11"
"Charade Duffel","Sci-Fi","66.87","13","5.1438461538461538","2005-08-23 22:20:40"
"Boiled Dares","Travel","66.87","13","5.1438461538461538","2005-08-21 04:30:47"
"Worst Banger","Action","66.85","15","4.4566666666666667","2005-08-23 01:13:52"
"Zoolander Fiction","Children","66.85","15","4.4566666666666667","2005-08-23 08:48:43"
"Egypt Tenenbaums","Horror","66.84","16","4.1775000000000000","2005-08-22 18:39:11"
"Wonka Sea","Animation","66.82","18","3.7122222222222222","2005-08-23 16:07:15"
"Pollock Deliverance","Foreign","66.82","17","3.9305882352941176","2006-02-14 15:16:03"
"Stranger Strangers","Children","65.90","10","6.5900000000000000","2005-08-20 15:18:20"
"War Notting","Foreign","65.88","12","5.4900000000000000","2005-08-23 00:11:52"
"Usual Untouchables","Foreign","65.88","12","5.4900000000000000","2005-08-23 16:08:15"
"Chamber Italian","Music","65.88","13","5.0676923076923077","2006-02-14 15:16:03"
"Lonely Elephant","Comedy","65.87","13","5.0669230769230769","2005-08-21 16:44:32"
"Chariots Conspiracy","Sci-Fi","65.81","19","3.4636842105263158","2005-08-22 06:17:12"
"House Dynamite","Family","65.80","20","3.2900000000000000","2005-08-23 20:16:27"
"Snowman Rollercoaster","Animation","65.79","21","3.1328571428571429","2005-08-23 20:08:26"
"Madness Attacks","Foreign","65.77","23","2.8595652173913043","2005-08-22 17:27:23"
"Elephant Trojan","Horror","64.90","10","6.4900000000000000","2005-08-22 16:15:33"
"Fiddler Lost","Sci-Fi","64.90","10","6.4900000000000000","2005-08-23 14:12:22"
"Gunfighter Mussolini","Sports","64.89","11","5.8990909090909091","2005-08-23 03:30:45"
"Madison Trap","Documentary","64.87","13","4.9900000000000000","2005-08-22 12:24:55"
"Divine Resurrection","Games","64.85","15","4.3233333333333333","2006-02-14 15:16:03"
"Swarm Gold","Horror","64.77","23","2.8160869565217391","2006-02-14 15:16:03"
"Daddy Pittsburgh","Comedy","63.89","11","5.8081818181818182","2005-08-22 01:17:16"
"Anthem Luke","Comedy","63.89","11","5.8081818181818182","2005-08-22 22:37:34"
"Mother Oleander","Sports","63.87","13","4.9130769230769231","2005-08-23 15:59:51"
"Bill Others","Documentary","63.82","18","3.5455555555555556","2005-08-23 19:50:06"
"Champion Flatliners","Animation","62.90","10","6.2900000000000000","2005-08-23 16:44:25"
"Games Bowfinger","Travel","62.88","12","5.2400000000000000","2005-08-23 02:33:27"
"Lovely Jingle","Classics","62.87","13","4.8361538461538462","2006-02-14 15:16:03"
"Potter Connecticut","Animation","62.85","15","4.1900000000000000","2005-08-22 01:20:19"
"Gaslight Crusade","Horror","62.84","16","3.9275000000000000","2005-08-23 18:45:06"
"Driver Annie","Sports","62.84","16","3.9275000000000000","2006-02-14 15:16:03"
"Reap Unfaithful","Horror","62.84","16","3.9275000000000000","2005-08-23 05:32:03"
"Neighbors Charade","Sports","62.83","17","3.6958823529411765","2005-08-21 23:40:28"
"Lebowski Soldiers","Drama","62.82","18","3.4900000000000000","2005-08-23 12:15:51"
"Wrong Behavior","Children","62.80","20","3.1400000000000000","2005-08-23 18:54:07"
"Detective Vision","Classics","62.76","24","2.6150000000000000","2006-02-14 15:16:03"
"Loathing Legally","Classics","62.74","26","2.4130769230769231","2006-02-14 15:16:03"
"Casualties Encino","Action","61.92","8","7.7400000000000000","2005-08-21 14:47:09"
"Wyoming Storm","New","61.89","11","5.6263636363636364","2005-08-23 18:31:40"
"Alone Trip","Music","61.83","17","3.6370588235294118","2006-02-14 15:16:03"
"Insider Arizona","Music","61.83","17","3.6370588235294118","2006-02-14 15:16:03"
"Pond Seattle","Animation","61.82","18","3.4344444444444444","2005-08-22 11:09:18"
"Excitement Eve","Action","61.80","20","3.0900000000000000","2005-08-22 15:52:57"
"Divide Monster","Sci-Fi","61.80","20","3.0900000000000000","2005-08-20 14:23:16"
"Orange Grapes","Foreign","61.78","22","2.8081818181818182","2005-08-23 20:13:31"
"Spartacus Cheaper","Family","60.91","9","6.7677777777777778","2005-08-21 08:40:21"
"Opus Ice","Foreign","60.90","10","6.0900000000000000","2005-08-22 06:10:53"
"Noon Papi","Children","60.85","15","4.0566666666666667","2005-08-20 12:33:36"
"Earring Instinct","Family","60.83","17","3.5782352941176471","2005-08-23 13:56:40"
"Sinners Atlantis","Horror","60.81","19","3.2005263157894737","2005-08-22 14:59:30"
"Dynamite Tarzan","Classics","60.77","23","2.6421739130434783","2005-08-23 19:06:04"
"Family Sweet","Horror","60.73","26","2.3357692307692308","2006-02-14 15:16:03"
"King Evolution","Family","59.92","8","7.4900000000000000","2005-08-21 11:36:15"
"Jingle Sagebrush","Classics","59.89","11","5.4445454545454545","2005-08-23 00:37:21"
"Born Spinal","Travel","59.88","12","4.9900000000000000","2005-08-23 13:45:44"
"Jaws Harry","Comedy","59.87","13","4.6053846153846154","2005-08-21 12:07:25"
"Artist Coldblooded","Sports","59.86","14","4.2757142857142857","2005-08-22 19:44:53"
"Nemo Campus","Sci-Fi","59.86","14","4.2757142857142857","2005-08-23 03:03:40"
"Manchurian Curtain","Family","59.86","14","4.2757142857142857","2005-08-23 21:10:24"
"Honey Ties","Sports","59.84","16","3.7400000000000000","2005-08-23 02:45:21"
"Clones Pinocchio","Music","59.83","17","3.5194117647058824","2005-08-22 05:53:52"
"Barefoot Manchurian","Action","59.83","17","3.5194117647058824","2005-08-23 19:45:25"
"Homicide Peach","Family","59.82","18","3.3233333333333333","2005-08-23 09:02:04"
"Smile Earring","Travel","58.90","10","5.8900000000000000","2005-08-19 19:11:41"
"Sweet Brotherhood","Travel","58.89","11","5.3536363636363636","2005-08-23 19:35:42"
"Nash Chocolat","Animation","58.87","13","4.5284615384615385","2005-08-22 06:19:37"
"Fury Murder","Children","58.83","17","3.4605882352941176","2005-08-22 06:05:38"
"Doom Dancing","Comedy","58.83","17","3.4605882352941176","2005-08-22 19:08:49"
"Fiction Christmas","Foreign","58.81","19","3.0952631578947368","2005-08-23 13:18:16"
"Chicken Hellfighters","Documentary","58.81","19","3.0952631578947368","2005-08-23 22:06:34"
"Packer Madigan","Animation","58.80","20","2.9400000000000000","2005-08-23 02:02:53"
"Hills Neighbors","Action","58.79","21","2.7995238095238095","2005-08-23 04:17:56"
"October Submarine","Classics","57.90","10","5.7900000000000000","2005-08-23 18:43:31"
"Lambs Cincinatti","Games","57.90","10","5.7900000000000000","2005-08-22 15:53:32"
"Temple Attraction","Horror","57.90","10","5.7900000000000000","2005-08-23 06:09:44"
"Sierra Divide","Sports","57.85","15","3.8566666666666667","2005-08-23 10:35:45"
"Fireball Philadelphia","Comedy","57.81","19","3.0426315789473684","2005-08-22 19:41:37"
"Brannigan Sunrise","New","56.91","9","6.3233333333333333","2005-08-23 16:24:24"
"Element Freddy","Comedy","56.90","10","5.6900000000000000","2005-08-23 13:06:19"
"Opposite Necklace","Family","56.89","11","5.1718181818181818","2006-02-14 15:16:03"
"Meet Chocolate","Foreign","56.89","11","5.1718181818181818","2005-08-23 20:44:10"
"Bowfinger Gables","Horror","56.89","11","5.1718181818181818","2005-08-19 10:49:03"
"Fugitive Maguire","Travel","56.89","11","5.1718181818181818","2005-08-23 13:33:46"
"Massage Image","Animation","56.89","11","5.1718181818181818","2005-08-21 13:53:33"
"Turn Star","Animation","56.88","12","4.7400000000000000","2005-08-22 16:06:23"
"Identity Lover","Sci-Fi","56.88","12","4.7400000000000000","2005-08-21 13:55:39"
"Boulevard Mob","New","56.84","16","3.5525000000000000","2006-02-14 15:16:03"
"Creatures Shakespeare","Games","56.84","16","3.5525000000000000","2006-02-14 15:16:03"
"Cider Desire","Documentary","56.83","17","3.3429411764705882","2005-08-23 11:16:16"
"River Outlaw","Sports","56.82","19","2.9905263157894737","2006-02-14 15:16:03"
"Double Wrath","Animation","56.79","21","2.7042857142857143","2005-08-23 00:56:01"
"Grapes Fury","Foreign","56.77","22","2.5804545454545455","2006-02-14 15:16:03"
"State Wasteland","Games","55.89","12","4.6575000000000000","2006-02-14 15:16:03"
"Analyze Hoosiers","Horror","55.86","14","3.9900000000000000","2005-08-22 17:58:27"
"Beach Heartbreakers","Documentary","55.86","14","3.9900000000000000","2005-08-23 15:29:17"
"Mummy Creatures","Sports","55.85","15","3.7233333333333333","2006-02-14 15:16:03"
"Greek Everyone","Foreign","55.83","17","3.2841176470588235","2005-08-19 23:38:02"
"Straight Hours","Sports","55.81","19","2.9373684210526316","2005-08-22 16:33:39"
"Magnificent Chitty","Classics","54.92","8","6.8650000000000000","2005-08-19 19:35:13"
"Lover Truman","Classics","54.91","9","6.1011111111111111","2005-08-21 15:44:23"
"Monsoon Cause","Games","54.91","9","6.1011111111111111","2005-08-19 10:33:52"
"Ali Forever","Horror","54.91","9","6.1011111111111111","2006-02-14 15:16:03"
"Racer Egg","Drama","54.83","17","3.2252941176470588","2005-08-23 17:36:00"
"Outfield Massacre","Music","54.82","18","3.0455555555555556","2006-02-14 15:16:03"
"Dalmations Sweden","Drama","54.82","18","3.0455555555555556","2005-08-21 23:09:32"
"Tights Dawn","Sports","54.76","24","2.2816666666666667","2005-08-23 07:07:22"
"Nuts Ties","New","53.91","9","5.9900000000000000","2005-08-23 18:43:22"
"Frisco Forrest","Sci-Fi","53.91","9","5.9900000000000000","2006-02-14 15:16:03"
"Bird Independence","Travel","53.91","9","5.9900000000000000","2005-08-23 22:13:04"
"Circus Youth","Children","53.86","14","3.8471428571428571","2005-08-23 12:41:07"
"Jade Bunch","Sports","53.85","15","3.5900000000000000","2005-08-23 15:30:48"
"Perfect Groove","Comedy","53.84","16","3.3650000000000000","2005-08-23 21:37:59"
"Fight Jawbreaker","Animation","53.80","20","2.6900000000000000","2006-02-14 15:16:03"
"Mockingbird Hollywood","Action","53.78","22","2.4445454545454545","2006-02-14 15:16:03"
"Ace Goldfinger","Horror","52.93","7","7.5614285714285714","2006-02-14 15:16:03"
"Guys Falcon","Sci-Fi","52.92","8","6.6150000000000000","2005-08-22 04:31:50"
"Vanilla Day","Games","52.91","9","5.8788888888888889","2005-08-21 12:47:38"
"Doubtfire Labyrinth","Foreign","52.91","9","5.8788888888888889","2005-08-21 00:44:34"
"Right Cranes","Classics","52.90","10","5.2900000000000000","2005-08-21 06:39:08"
"Sensibility Rear","Family","52.90","10","5.2900000000000000","2005-08-21 14:57:03"
"Purple Movie","Foreign","52.88","12","4.4066666666666667","2005-08-23 18:44:21"
"Shane Darkness","Travel","52.87","13","4.0669230769230769","2005-08-22 07:32:23"
"Patriot Roman","Action","52.85","15","3.5233333333333333","2005-08-22 16:40:21"
"Willow Tracy","Family","52.85","15","3.5233333333333333","2005-08-23 10:11:40"
"Gilmore Boiled","Classics","52.76","24","2.1983333333333333","2005-08-22 17:18:32"
"Panic Club","Horror","51.93","7","7.4185714285714286","2005-08-22 17:32:57"
"North Tequila","Documentary","51.91","9","5.7677777777777778","2005-08-23 14:06:19"
"Pilot Hoosiers","Family","51.86","14","3.7042857142857143","2005-08-20 05:50:05"
"Moulin Wake","Travel","51.84","16","3.2400000000000000","2005-08-22 10:24:32"
"Rouge Squad","Games","51.84","16","3.2400000000000000","2005-08-23 11:33:25"
"Enough Raging","Travel","51.84","16","3.2400000000000000","2006-02-14 15:16:03"
"Anaconda Confessions","Animation","51.82","18","2.8788888888888889","2005-08-20 21:21:08"
"Karate Moon","Horror","51.80","20","2.5900000000000000","2005-08-23 15:46:33"
"Iron Moon","Classics","50.90","10","5.0900000000000000","2005-08-23 14:05:37"
"Lost Bird","Foreign","50.90","10","5.0900000000000000","2005-08-21 06:21:24"
"Chisum Behavior","Family","50.90","10","5.0900000000000000","2005-08-20 08:57:28"
"Window Side","Travel","50.89","11","4.6263636363636364","2006-02-14 15:16:03"
"Reunion Witches","Drama","50.82","18","2.8233333333333333","2005-08-23 07:43:00"
"Annie Identity","Sci-Fi","50.81","19","2.6742105263157895","2005-08-23 03:30:51"
"Sun Confessions","Sci-Fi","50.77","23","2.2073913043478261","2005-08-22 10:07:52"
"Handicap Boondock","Action","50.76","24","2.1150000000000000","2005-08-22 18:04:22"
"Bound Cheaper","Classics","50.76","24","2.1150000000000000","2006-02-14 15:16:03"
"Exorcist Sting","Sports","49.88","12","4.1566666666666667","2005-08-21 09:49:28"
"Valley Packer","Comedy","49.88","12","4.1566666666666667","2005-08-22 01:10:32"
"Mask Peach","New","49.86","14","3.5614285714285714","2005-08-22 15:56:42"
"Heaven Freedom","Comedy","49.85","15","3.3233333333333333","2005-08-23 14:42:07"
"Novocaine Flight","Sports","49.82","18","2.7677777777777778","2005-08-22 23:06:25"
"Chocolat Harry","Family","49.81","19","2.6215789473684211","2005-08-20 09:07:39"
"Dancing Fever","Documentary","49.76","24","2.0733333333333333","2005-08-22 11:11:51"
"Park Citizen","Action","48.94","6","8.1566666666666667","2005-08-20 20:26:53"
"Madigan Dorado","Travel","48.92","8","6.1150000000000000","2005-08-23 01:45:07"
"Gosford Donnie","Action","48.92","8","6.1150000000000000","2005-08-22 07:35:31"
"Mod Secretary","Documentary","48.91","9","5.4344444444444444","2005-08-21 09:16:40"
"Rider Caddyshack","Sports","48.89","11","4.4445454545454545","2005-08-22 17:00:31"
"Monster Spartacus","Music","48.86","14","3.4900000000000000","2006-02-14 15:16:03"
"Varsity Trip","New","48.84","16","3.0525000000000000","2006-02-14 15:16:03"
"Rock Instinct","Horror","48.83","17","2.8723529411764706","2005-08-23 07:54:54"
"Kick Savannah","Travel","48.83","17","2.8723529411764706","2006-02-14 15:16:03"
"Sleuth Orient","Games","48.81","19","2.5689473684210526","2005-08-22 08:21:21"
"Slums Duck","Family","48.78","22","2.2172727272727273","2005-08-22 13:59:19"
"Sense Greek","Sports","47.93","7","6.8471428571428571","2005-08-23 17:52:01"
"Reds Pocus","Music","47.92","8","5.9900000000000000","2005-08-23 21:04:51"
"Kramer Chocolate","Sports","47.91","9","5.3233333333333333","2005-08-22 11:58:58"
"African Egg","Family","47.89","11","4.3536363636363636","2006-02-14 15:16:03"
"Madre Gables","Games","47.87","13","3.6823076923076923","2005-08-23 11:15:20"
"Dirty Ace","Games","47.87","13","3.6823076923076923","2005-08-21 18:35:44"
"Worker Tarzan","Travel","47.86","14","3.4185714285714286","2005-08-22 19:54:26"
"Gables Metropolis","Family","47.83","17","2.8135294117647059","2006-02-14 15:16:03"
"Haunting Pianist","Games","47.80","20","2.3900000000000000","2005-08-23 16:15:45"
"Virginian Pluto","Documentary","47.75","25","1.9100000000000000","2006-02-14 15:16:03"
"Wonderful Drop","Foreign","46.92","8","5.8650000000000000","2005-08-22 21:24:19"
"Grosse Wonderful","Music","46.92","8","5.8650000000000000","2005-08-21 13:54:15"
"Trainspotting Strangers","Comedy","46.91","9","5.2122222222222222","2005-08-23 19:22:36"
"Stage World","Comedy","46.90","10","4.6900000000000000","2005-08-21 04:49:41"
"Shrunk Divine","Action","46.87","13","3.6053846153846154","2005-08-23 18:51:41"
"Alley Evolution","Foreign","46.87","13","3.6053846153846154","2005-08-22 07:10:26"
"Town Ark","Foreign","46.87","13","3.6053846153846154","2005-08-22 18:05:21"
"Caddyshack Jedi","Action","46.86","14","3.3471428571428571","2005-08-23 14:27:07"
"Troopers Metal","New","46.86","14","3.3471428571428571","2005-08-23 07:25:29"
"Indian Love","Family","46.85","15","3.1233333333333333","2005-08-23 16:50:43"
"Newton Labyrinth","Foreign","46.84","16","2.9275000000000000","2005-08-22 11:43:42"
"Gunfight Moon","Comedy","46.79","21","2.2280952380952381","2006-02-14 15:16:03"
"Clerks Angels","Documentary","45.94","6","7.6566666666666667","2005-08-21 04:49:48"
"Casper Dragonfly","Children","45.93","7","6.5614285714285714","2005-08-21 20:01:34"
"Lolita World","Family","45.91","9","5.1011111111111111","2005-08-23 21:13:39"
"Bugsy Song","Foreign","45.91","9","5.1011111111111111","2005-08-21 16:03:27"
"Darkness War","Drama","45.88","12","3.8233333333333333","2005-08-22 00:40:49"
"Uprising Uptown","Action","45.87","13","3.5284615384615385","2005-08-23 16:54:09"
"Pirates Roxanne","Sports","45.81","18","2.5450000000000000","2006-02-14 15:16:03"
"Crusade Honey","Sports","44.93","7","6.4185714285714286","2005-08-23 13:01:43"
"Speed Suit","Travel","44.92","8","5.6150000000000000","2005-08-20 14:42:34"
"Darling Breaking","Games","44.92","8","5.6150000000000000","2005-08-21 19:14:48"
"Ship Wonderland","Documentary","44.86","14","3.2042857142857143","2005-08-22 01:35:37"
"Hours Rage","New","44.82","18","2.4900000000000000","2005-08-22 16:49:02"
"Drop Waterfront","Sports","43.92","8","5.4900000000000000","2005-08-22 10:39:51"
"Anything Savannah","Horror","43.92","8","5.4900000000000000","2005-08-22 02:09:12"
"Potluck Mixed","Animation","43.90","10","4.3900000000000000","2005-08-23 06:48:47"
"Microcosmos Paradise","Children","43.88","12","3.6566666666666667","2005-08-23 22:14:31"
"Cyclone Family","Foreign","43.87","14","3.1335714285714286","2006-02-14 15:16:03"
"Personal Ladybugs","Music","43.87","13","3.3746153846153846","2005-08-22 15:30:25"
"Freaky Pocus","Music","43.86","14","3.1328571428571429","2005-08-22 18:57:39"
"Shanghai Tycoon","Travel","43.86","14","3.1328571428571429","2005-08-21 19:01:36"
"United Pilot","Documentary","43.85","15","2.9233333333333333","2005-08-21 21:50:51"
"Go Purple","Music","43.83","17","2.5782352941176471","2005-08-23 14:38:37"
"Pacific Amistad","Documentary","43.81","19","2.3057894736842105","2005-08-23 02:25:09"
"Goldmine Tycoon","Sci-Fi","43.76","24","1.8233333333333333","2005-08-22 12:47:45"
"Ishtar Rocketeer","Animation","42.94","6","7.1566666666666667","2005-08-22 18:03:11"
"Run Pacific","New","42.91","9","4.7677777777777778","2005-08-22 08:52:53"
"Wars Pluto","Documentary","42.90","10","4.2900000000000000","2005-08-22 10:34:39"
"Modern Dorado","Documentary","42.88","12","3.5733333333333333","2005-08-23 14:31:50"
"Express Lonely","Sci-Fi","42.88","12","3.5733333333333333","2005-08-23 16:22:20"
"Scissorhands Slums","Foreign","42.88","12","3.5733333333333333","2005-08-22 05:59:59"
"Uncut Suicides","Music","42.87","13","3.2976923076923077","2005-08-23 05:04:33"
"Graduate Lord","Children","42.87","13","3.2976923076923077","2005-08-22 06:30:10"
"Stock Glass","New","42.87","13","3.2976923076923077","2005-08-23 09:23:08"
"Entrapment Satisfaction","Action","42.87","13","3.2976923076923077","2005-08-23 09:02:03"
"Lock Rear","Travel","42.86","14","3.0614285714285714","2005-08-23 03:52:36"
"Kwai Homeward","Drama","42.80","20","2.1400000000000000","2005-08-22 19:44:00"
"Voyage Legally","Classics","42.75","25","1.7100000000000000","2005-08-23 22:26:47"
"Storm Happiness","Animation","42.74","26","1.6438461538461538","2005-08-22 20:44:35"
"Punk Divorce","Animation","41.93","7","5.9900000000000000","2005-08-20 16:51:18"
"Hoosiers Birdcage","Foreign","41.92","8","5.2400000000000000","2005-08-18 00:14:03"
"Hotel Happiness","Foreign","41.92","8","5.2400000000000000","2005-08-22 19:23:58"
"Miracle Virtual","Animation","41.92","8","5.2400000000000000","2005-08-18 15:15:44"
"Breaking Home","New","41.90","10","4.1900000000000000","2005-08-19 10:15:19"
"Speakeasy Date","Action","41.89","11","3.8081818181818182","2005-08-21 17:48:49"
"Party Knock","Comedy","41.88","12","3.4900000000000000","2005-08-23 17:44:53"
"Date Speed","Family","41.88","12","3.4900000000000000","2005-08-21 16:32:32"
"Labyrinth League","Children","41.87","13","3.2207692307692308","2005-08-22 21:41:40"
"Armageddon Lost","Sci-Fi","41.80","20","2.0900000000000000","2006-02-14 15:16:03"
"Clue Grail","Music","40.93","7","5.8471428571428571","2005-08-18 22:11:37"
"Eve Resurrection","New","40.93","7","5.8471428571428571","2005-08-18 19:36:05"
"Baby Hall","Foreign","40.93","7","5.8471428571428571","2005-08-22 03:47:39"
"Matrix Snowman","Foreign","40.92","8","5.1150000000000000","2005-08-21 09:20:03"
"Platoon Instinct","New","40.92","8","5.1150000000000000","2005-08-21 10:16:27"
"Tarzan Videotape","Horror","40.92","8","5.1150000000000000","2005-08-22 01:32:14"
"Grail Frankenstein","Action","40.92","8","5.1150000000000000","2006-02-14 15:16:03"
"Frida Slipper","Foreign","40.90","11","3.7181818181818182","2006-02-14 15:16:03"
"Wasteland Divine","Classics","40.88","12","3.4066666666666667","2005-08-21 11:20:21"
"Hunting Musketeers","Family","40.88","12","3.4066666666666667","2005-08-23 16:18:25"
"Paris Weekend","Horror","40.88","12","3.4066666666666667","2005-08-23 07:23:29"
"Forever Candidate","Children","40.88","12","3.4066666666666667","2005-08-23 19:35:42"
"Groove Fiction","Sports","40.83","17","2.4017647058823529","2005-08-21 12:47:53"
"Tramp Others","Comedy","40.82","18","2.2677777777777778","2005-08-22 11:05:34"
"Banger Pinocchio","Music","40.80","20","2.0400000000000000","2005-08-23 21:01:09"
"Effect Gladiator","Family","40.79","21","1.9423809523809524","2006-02-14 15:16:03"
"Splendor Patton","Children","40.79","21","1.9423809523809524","2005-08-23 14:23:03"
"Pocus Pulp","Documentary","40.75","25","1.6300000000000000","2005-08-23 15:21:19"
"Terminator Club","Music","39.94","6","6.6566666666666667","2005-08-22 06:49:15"
"Jersey Sassy","Children","39.94","6","6.6566666666666667","2005-08-18 23:21:50"
"Fire Wolves","Games","39.93","7","5.7042857142857143","2005-08-20 19:19:30"
"Intolerable Intentions","Documentary","39.93","7","5.7042857142857143","2005-08-19 03:38:32"
"Legally Secretary","Children","39.92","8","4.9900000000000000","2005-08-22 15:25:33"
"Hollow Jeopardy","Sci-Fi","39.92","8","4.9900000000000000","2005-08-22 11:49:16"
"Rollercoaster Bringing","Horror","39.91","9","4.4344444444444444","2005-08-23 21:26:35"
"Lord Arizona","Action","39.90","10","3.9900000000000000","2006-02-14 15:16:03"
"Hamlet Wisdom","Sci-Fi","39.88","12","3.3233333333333333","2005-08-20 10:31:01"
"Spinal Rocky","Family","39.87","13","3.0669230769230769","2005-08-23 09:38:17"
"Cabin Flash","Children","39.86","14","2.8471428571428571","2005-08-21 15:57:25"
"Pajama Jawbreaker","Classics","39.86","14","2.8471428571428571","2005-08-21 23:47:16"
